상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220801148538,어센드,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 370-30,서울특별시 마포구 연남로7길,서울특별시 마포구 연남로7길 24,126.9189777,37.56374609
MA010120220801317142,케이하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,기타 일반 및 생활 숙박시설 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 564-6,서울특별시 마포구 동교로25길,서울특별시 마포구 동교로25길 69-4,126.9194345,37.55954243
MA010120220802147117,연트럴,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 245-9,서울특별시 마포구 성미산로23안길,서울특별시 마포구 성미산로23안길 20-7,126.9214244,37.56597602
MA010120220802283989,디어민하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-33,서울특별시 마포구 동교로36길,서울특별시 마포구 동교로36길 6,126.9246973,37.56114027
MA010120220802684782,연남해피하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-82,서울특별시 마포구 성미산로31길,서울특별시 마포구 성미산로31길 7,126.9252503,37.56440706
MA010120220803082855,찬스하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 567-4,서울특별시 마포구 동교로27길,서울특별시 마포구 동교로27길 44-7,126.9217241,37.56010399
MA010120220803245591,와이제이house2,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 259-2,서울특별시 마포구 동교로,서울특별시 마포구 동교로 237,126.924018,37.5611521
MA010120220803227871,지브로,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 239-34,서울특별시 마포구 성미산로32길,서울특별시 마포구 성미산로32길 20-5,126.9237106,37.56363616
MA010120220803276426,더어반게스트하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,기타 일반 및 생활 숙박시설 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 227-17,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 194-11,126.9264231,37.56234534
MA010120220803460643,더블유하우스,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,기숙사 및 고시원 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 226-36,서울특별시 마포구 연희로,서울특별시 마포구 연희로 43,126.9274833,37.56260727
MA010120220803436471,브라더하우스,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,그 외 기타 숙박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-68,서울특별시 마포구 연희로1길,서울특별시 마포구 연희로1길 55-6,126.9260412,37.56135073
MA010120220803376730,소쥬1,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 570-35,서울특별시 마포구 월드컵북로6길,서울특별시 마포구 월드컵북로6길 19-6,126.9196535,37.55849022
MA010120220803703854,나무하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-2,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 12,126.924947,37.56188139
MA010120220803703696,헬로월드게스트하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 239-43,서울특별시 마포구 성미산로32길,서울특별시 마포구 성미산로32길 20-7,126.9236529,37.56371673
MA010120220803865894,티하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,기타 일반 및 생활 숙박시설 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 493-10,서울특별시 마포구 동교로27길,서울특별시 마포구 동교로27길 93-8,126.9193731,37.56144306
MA010120220804608478,델타하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,기타 일반 및 생활 숙박시설 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-98,서울특별시 마포구 연희로1길,서울특별시 마포구 연희로1길 59-6,126.9263876,37.56166023
MA010120220804536850,와이즈하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 567-33,서울특별시 마포구 월드컵북로6길,서울특별시 마포구 월드컵북로6길 89-9,126.9224649,37.56053424
