상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220811893734,쥬벤쿠바연남,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 241-48,서울특별시 마포구 성미산로29길,서울특별시 마포구 성미산로29길 34,126.9219976,37.56547667
MA010120220811970344,슬로우,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 385-4,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 25,126.9261632,37.56231595
MA010120220812024493,메종브리크,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-28,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 27-19,126.9259535,37.56194462
MA010120220812045328,리리코,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-3,서울특별시 마포구 동교로,서울특별시 마포구 동교로 266-11,126.9259509,37.5629087
MA010120220812184289,올웨이즈어거스트제작소,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 365-29,서울특별시 마포구 연남로,서울특별시 마포구 연남로 71,126.91917,37.56531566
MA010120220812085857,돈타코스,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 227-4,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 42-3,126.9268138,37.56193442
MA010120220812286655,오뗄드꾸뜨,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-19,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 7,126.9253539,37.56270504
MA010120220812216674,썸모어,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 454-10,서울특별시 마포구 동교로51길,서울특별시 마포구 동교로51길 131,126.919833,37.56643902
MA010120220812366254,해브,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-72,서울특별시 마포구 연희로1길,서울특별시 마포구 연희로1길 55,126.9262341,37.56131644
MA010120220812386729,다인,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-45,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 10,126.9252885,37.56253325
MA010120220812592648,에그써티,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 381-15,서울특별시 마포구 동교로32길,서울특별시 마포구 동교로32길 19,126.9253955,37.56059699
MA010120220812572686,윤성용레스토랑,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-24,서울특별시 마포구 연남로1길,서울특별시 마포구 연남로1길 22,126.9217526,37.56048268
MA010120220812515646,양식구옥,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-25,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 27,126.9255603,37.5617338
MA010120220812730862,감칠,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 385-3,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 27,126.9262771,37.56226292
MA010120220812661217,알척,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 257-8,서울특별시 마포구 성미산로26길,서울특별시 마포구 성미산로26길 43,126.9235632,37.56208503
MA010120220812807136,업투미,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 245-49,서울특별시 마포구 성미산로29길,서울특별시 마포구 성미산로29길 29-9,126.9216754,37.56505024
MA010120220812980520,협동조합연대,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-31,서울특별시 마포구 동교로34길,서울특별시 마포구 동교로34길 3,126.9245513,37.56105784
MA010120220812875913,야경,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 226-22,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 189-6,126.9266736,37.56303241
MA010120220813228436,서울아일랜드,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 564-37,서울특별시 마포구 연남로1길,서울특별시 마포구 연남로1길 88,126.9186641,37.55881455
MA010120220813205288,키도,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 226-29,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 195,126.9268257,37.56268239
