상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220802961323,아이니드케이크,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-39,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 33-10,126.9261515,37.56154996
MA010120220802900504,비공간,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 454-7,서울특별시 마포구 성미산로27길,서울특별시 마포구 성미산로27길 69,126.9201289,37.56632459
MA010120220803040867,유니르,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-32,서울특별시 마포구 동교로,서울특별시 마포구 동교로 256-10,126.9251768,37.56243312
MA010120220803139163,메트로놈,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-21,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 24-4,126.9258395,37.56199764
MA010120220803241317,리틀그릭,,I2,음식,I212,비알코올 ,I21201,카페,기타 비알코올 음료점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-77,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 20,126.9252635,37.56191131
MA010120220803314286,카페시월,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 488-11,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 105,126.9187204,37.56196869
MA010120220803256475,플레이버,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-18,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 9,126.9254458,37.56261577
MA010120220803401450,매일카페,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-2,서울특별시 마포구 연남로3길,서울특별시 마포구 연남로3길 31,126.9209804,37.56065584
MA010120220803449301,앤디스커피연남점,,I2,음식,I212,비알코올 ,I21201,카페,기타 비알코올 음료점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-39,서울특별시 마포구 동교로,서울특별시 마포구 동교로 256-4,126.9249266,37.56251193
MA010120220803585356,소프트컬러,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 241-1,서울특별시 마포구 동교로51길,서울특별시 마포구 동교로51길 63,126.9235097,37.56579682
